"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 09 16:05:26 CST 2022","Fri Dec 09 16:05:26 CST 2022","0","testcase","test_params","Testdo","","","用例1",""
"passed","Fri Dec 09 16:05:26 CST 2022","Fri Dec 09 16:05:26 CST 2022","0","testcase","test_params","Testdo","","","用例2",""
